countries,hts_code,condition
2050;2110;2150;2190;2230;2470,54083210,fta
2050;2110;2150;2190;2230;2470,54083230,fta
2050;2110;2150;2190;2230;2470,54083290,fta
2050;2110;2150;2190;2230;2470,54083305,fta
2050;2110;2150;2190;2230;2470,54083310,fta
2050;2110;2150;2190;2230;2470,54083315,fta
2050;2110;2150;2190;2230;2470,54083330,fta
2050;2110;2150;2190;2230;2470,54083390,fta
2050;2110;2150;2190;2230;2470,54083405,fta
2050;2110;2150;2190;2230;2470,54083410,fta
2050;2110;2150;2190;2230;2470,54083430,fta
2050;2110;2150;2190;2230;2470,54083490,fta
2050;2110;2150;2190;2230;2470,55011100,fta
2050;2110;2150;2190;2230;2470,55011900,fta
2050;2110;2150;2190;2230;2470,55012000,fta
2050;2110;2150;2190;2230;2470,55013000,fta
2050;2110;2150;2190;2230;2470,55014000,fta
2050;2110;2150;2190;2230;2470,55019001,fta
2050;2110;2150;2190;2230;2470,55021000,fta
2050;2110;2150;2190;2230;2470,55029000,fta
2050;2110;2150;2190;2230;2470,55031100,fta
2050;2110;2150;2190;2230;2470,55031910,fta
2050;2110;2150;2190;2230;2470,55031990,fta
2050;2110;2150;2190;2230;2470,55032000,fta
2050;2110;2150;2190;2230;2470,55033000,fta
2050;2110;2150;2190;2230;2470,55034000,fta
2050;2110;2150;2190;2230;2470,55039010,fta
2050;2110;2150;2190;2230;2470,55039090,fta
2050;2110;2150;2190;2230;2470,55041000,fta
2050;2110;2150;2190;2230;2470,55049000,fta
2050;2110;2150;2190;2230;2470,55051000,fta
