hts_prefix,ch99_code,derivative_type,effective_date
8701290080,9903.81.91,steel,2025-08-18
87013010,9903.81.91,steel,2025-08-18
87013050,9903.81.91,steel,2025-08-18
87019110,9903.81.91,steel,2025-08-18
87019150,9903.81.91,steel,2025-08-18
87019210,9903.81.91,steel,2025-08-18
87019250,9903.81.91,steel,2025-08-18
87019310,9903.81.91,steel,2025-08-18
87019350,9903.81.91,steel,2025-08-18
87019410,9903.81.91,steel,2025-08-18
87019450,9903.81.91,steel,2025-08-18
87019510,9903.81.91,steel,2025-08-18
87019550,9903.81.91,steel,2025-08-18
87021031,9903.81.91,steel,2025-08-18
87021061,9903.81.91,steel,2025-08-18
87031010,9903.81.91,steel,2025-08-18
87031050,9903.81.91,steel,2025-08-18
87032101,9903.81.91,steel,2025-08-18
87051000,9903.81.91,steel,2025-08-18
87052000,9903.81.91,steel,2025-08-18
8705900010,9903.81.91,steel,2025-08-18
8705900020,9903.81.91,steel,2025-08-18
87060030,9903.81.91,steel,2025-08-18
87081030,9903.85.04,aluminum,NA
8708103050,9903.85.08,aluminum,2025-08-18
87081060,9903.85.08,aluminum,2025-03-12
87082921,9903.85.04,aluminum,NA
8708295150,9903.85.08,aluminum,2026-07-01
8708295160,9903.85.08,aluminum,2025-03-12
8708295190,9903.85.08,aluminum,2026-07-01
87084030,9903.81.91,steel,2025-08-18
87084060,9903.81.91,steel,2025-08-18
8708806590,9903.85.08,aluminum,2025-03-12
87089210,9903.81.91,steel,2025-08-18
87089250,9903.81.91,steel,2025-08-18
87089260,9903.81.91,steel,2025-08-18
87089275,9903.81.91,steel,2025-08-18
87089315,9903.81.91,steel,2025-08-18
87089330,9903.81.91,steel,2025-08-18
87089923,9903.81.91,steel,2025-08-18
8708996890,9903.85.08,aluminum,2025-03-12
87089981,9903.81.91,steel,2025-08-18
87100000,9903.81.91,steel,2025-08-18
87113000,9903.81.91,steel,2025-08-18
87115000,9903.81.91,steel,2025-08-18
87116000,9903.81.91,steel,2025-08-18
87141000,9903.81.91,steel,2025-08-18
87161000,9903.81.91,steel,2025-08-18
87163900,9903.81.91,steel,2025-08-18
8716390040,9903.85.08,aluminum,2025-08-18
87168010,9903.81.91,steel,2025-08-18
87168050,9903.81.91,steel,2025-08-18
8716805010,9903.85.08,aluminum,2025-03-12
87169010,9903.81.91,steel,2025-08-18
87169030,9903.81.91,steel,2025-08-18
8807300060,9903.85.08,aluminum,2025-03-12
9013908000,9903.85.08,aluminum,2025-03-12
9031909195,9903.85.08,aluminum,2025-03-12
94017100,9903.81.91,steel,2025-08-18
94017900,9903.85.08,aluminum,2025-08-18
94017900,9903.81.91,steel,2025-08-18
9401999030,9903.85.08,aluminum,2025-07-01
9401999040,9903.85.08,aluminum,2026-01-30
9401999070,9903.85.08,aluminum,2025-07-01
9401999081,9903.85.08,aluminum,2025-03-12
9401999085,9903.85.08,aluminum,2026-01-30
94031000,9903.85.08,aluminum,2025-03-12
94031000,9903.81.91,steel,2025-08-18
94032000,9903.85.08,aluminum,2025-03-12
94032000,9903.81.91,steel,2025-03-12
94039910,9903.81.91,steel,2025-08-18
9403991040,9903.85.08,aluminum,2025-03-12
9403999010,9903.85.08,aluminum,2025-03-12
9403999010,9903.81.91,steel,2025-08-18
9403999015,9903.85.08,aluminum,2025-03-12
9403999015,9903.81.91,steel,2025-08-18
9403999020,9903.85.08,aluminum,2025-03-12
9403999020,9903.81.91,steel,2025-03-12
9403999040,9903.85.08,aluminum,2025-03-12
9403999040,9903.81.91,steel,2025-08-18
9403999045,9903.85.08,aluminum,2025-03-12
9403999045,9903.81.91,steel,2025-08-18
9403999051,9903.81.91,steel,2025-08-18
9403999061,9903.81.91,steel,2025-08-18
94059920,9903.81.91,steel,2025-03-12
94059940,9903.81.91,steel,2025-03-12
