prefix,first_revision,last_revision,first_effective_date,removed_at,end_effective_date
28443050,2025_rev_7,2026_rev_10,NA,NA,NA
28444300,2025_rev_7,2026_rev_10,NA,NA,NA
28459001,2025_rev_7,2026_rev_10,NA,NA,NA
28461000,2025_rev_7,2026_rev_10,NA,NA,NA
28469020,2025_rev_7,2026_rev_10,NA,NA,NA
28469040,2025_rev_7,2026_rev_10,NA,NA,NA
28469080,2025_rev_7,2026_rev_10,NA,NA,NA
28492010,2025_rev_7,2026_rev_10,NA,NA,NA
28492020,2025_rev_7,2026_rev_10,NA,NA,NA
28499030,2025_rev_7,2026_rev_10,NA,NA,NA
28539010,2025_rev_7,2026_rev_10,NA,NA,NA
28539090,2025_rev_7,2026_rev_10,NA,NA,NA
29034510,2025_rev_7,2026_rev_10,NA,NA,NA
29035110,2025_rev_22,2026_rev_10,2025-09-08,NA,NA
29035990,2025_rev_7,2026_rev_10,NA,NA,NA
29036990,2025_rev_7,2026_rev_10,NA,NA,NA
29037800,2025_rev_7,2026_rev_10,NA,NA,NA
29037990,2025_rev_7,2026_rev_10,NA,NA,NA
29038915,2025_rev_7,2026_rev_10,NA,NA,NA
29038920,2025_rev_7,2026_rev_10,NA,NA,NA
29038970,2025_rev_7,2026_rev_10,NA,NA,NA
29039200,2025_rev_7,2026_rev_10,NA,NA,NA
29049940,2025_rev_7,2026_rev_10,NA,NA,NA
29052990,2025_rev_7,2026_rev_10,NA,NA,NA
29053990,2025_rev_7,2026_rev_10,NA,NA,NA
29055910,2025_rev_7,2026_rev_10,NA,NA,NA
29055990,2025_rev_7,2026_rev_10,NA,NA,NA
29061950,2025_rev_7,2026_rev_10,NA,NA,NA
29062960,2025_rev_7,2026_rev_10,NA,NA,NA
29072990,2025_rev_7,2026_rev_10,NA,NA,NA
29081960,2025_rev_7,2026_rev_10,NA,NA,NA
29091918,2025_rev_7,2026_rev_10,NA,NA,NA
29092000,2025_rev_7,2026_rev_10,NA,NA,NA
29093060,2025_rev_7,2026_rev_10,NA,NA,NA
